"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2"
"120","24",3,12,0.00585137910923404,0.00486817206534543,2,45.6,1,1,512.699646356141,2464.99093272056,2977.6905790767,0.172180296354067,1,"FV1 vs FV2"
"125","24",3,5,0.00585137910923404,0.00486817206534543,2,45.6,1,1,512.699646356141,1027.07955530023,1539.77920165637,0.332969587980289,1,"FV1 vs FV2"
"130","24",0,8,0.00585137910923404,0.00486817206534543,2,45.6,1,1,0,1643.32728848037,1643.32728848037,0,1,"FV1 vs FV2"
"135","24",0,2,0.00585137910923404,0.00486817206534543,2,45.6,1,1,0,410.831822120093,410.831822120093,0,1,"FV1 vs FV2"
"140","24",0,3,0.00585137910923404,0.00486817206534543,2,45.6,1,1,0,616.24773318014,616.24773318014,0,1,"FV1 vs FV2"
"145","24",1,0,0.00585137910923404,0.00486817206534543,2,45.6,1,1,170.899882118714,0,170.899882118714,1,1,"FV1 vs FV2"
"90","2",1,1,0.00867433979646673,0.00435847297569967,2,38.7,1,1,115.282548696942,229.438155421732,344.720704118675,0.334423048339025,1,"FV1 vs FV2"
"95","2",1,7,0.00867433979646673,0.00435847297569967,2,38.7,1,1,115.282548696942,1606.06708795213,1721.34963664907,0.0669721863835644,1,"FV1 vs FV2"
"100","2",4,7,0.00867433979646673,0.00435847297569967,2,38.7,1,1,461.130194787769,1606.06708795213,2067.19728273989,0.22307024038682,1,"FV1 vs FV2"
"105","2",2,3,0.00867433979646673,0.00435847297569967,2,38.7,1,1,230.565097393884,688.314466265197,918.879563659081,0.250919822915365,1,"FV1 vs FV2"
"110","2",4,9,0.00867433979646673,0.00435847297569967,2,38.7,1,1,461.130194787769,2064.94339879559,2526.07359358336,0.182548202854863,1,"FV1 vs FV2"
"115","2",6,10,0.00867433979646673,0.00435847297569967,2,38.7,1,1,691.695292181653,2294.38155421732,2986.07684639898,0.231640151195638,1,"FV1 vs FV2"
"120","2",8,19,0.00867433979646673,0.00435847297569967,2,38.7,1,1,922.260389575538,4359.32495301291,5281.58534258845,0.17461809849759,1,"FV1 vs FV2"
"125","2",2,14,0.00867433979646673,0.00435847297569967,2,38.7,1,1,230.565097393884,3212.13417590425,3442.69927329814,0.0669721863835644,1,"FV1 vs FV2"
"130","2",2,7,0.00867433979646673,0.00435847297569967,2,38.7,1,1,230.565097393884,1606.06708795213,1836.63218534601,0.125536892598039,1,"FV1 vs FV2"
"135","2",0,2,0.00867433979646673,0.00435847297569967,2,38.7,1,1,0,458.876310843465,458.876310843465,0,1,"FV1 vs FV2"
"115","S86",1,0,0.00961240448587988,0.00930994184248839,2,26.85,1,1,104.032243073931,0,104.032243073931,1,1,"FV1 vs FV2"
"90","7",0,2,0.00621412067434581,0.00458035989197675,2,31.5,1,1,0,436.646911414827,436.646911414827,0,1,"FV1 vs FV2"
"95","7",3,1,0.00621412067434581,0.00458035989197675,2,31.5,1,1,482.771442206636,218.323455707413,701.09489791405,0.688596427734696,1,"FV1 vs FV2"
