"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2","cpuetotalN","sl","septh","res"
115,"23",16,14,0.00745501471667135,0.00501663478473594,2,40,1,1,2146.20636015913,2790.71540997915,4936.92177013828,0.43472561650476,1,"FV1 vs FV2",493.692177013828,0.0570227269368907,0.185528516988718,2.16329886757387
120,"23",12,8,0.00745501471667135,0.00501663478473594,2,40,1,1,1609.65477011935,1594.69451998808,3204.34929010744,0.502334366321651,1,"FV1 vs FV2",320.434929010744,0.334825755603794,0.185528516988718,4.74039040257307
125,"23",8,8,0.00745501471667135,0.00501663478473594,2,40,1,1,1073.10318007957,1594.69451998808,2667.79770006765,0.402243086142684,1,"FV1 vs FV2",266.779770006765,0.612628784270697,0.185528516988718,1.7523206371581
130,"23",1,6,0.00745501471667135,0.00501663478473594,2,40,1,1,134.137897509946,1196.02088999106,1330.15878750101,0.100843522420322,1,"FV1 vs FV2",133.015878750101,0.8904318129376,0.185528516988718,-6.02112801852122
90,"S55",1,1,0.00819893383259883,0.00279029296116131,2,44.5,1,1,121.96707772223,358.385307177137,480.352384899367,0.253911673089292,1,"FV1 vs FV2",48.0352384899367,-1.33199241639762,0.896700370946815,-2.21000802050767
95,"S55",3,4,0.00819893383259883,0.00279029296116131,2,44.5,1,1,365.901233166689,1433.54122870855,1799.44246187524,0.203341446541934,1,"FV1 vs FV2",179.944246187524,-1.05418938773072,0.896700370946815,-5.75892590254242
100,"S55",3,11,0.00819893383259883,0.00279029296116131,2,44.5,1,1,365.901233166689,3942.23837894851,4308.1396121152,0.084932538429747,1,"FV1 vs FV2",430.81396121152,-0.776386359063818,0.896700370946815,-14.9520125982419
105,"S55",6,4,0.00819893383259883,0.00279029296116131,2,44.5,1,1,731.802466333378,1433.54122870855,2165.34369504193,0.33796134443184,1,"FV1 vs FV2",216.534369504193,-0.498583330396915,0.896700370946815,-1.92356850220373
110,"S55",7,12,0.00819893383259883,0.00279029296116131,2,44.5,1,1,853.769544055608,4300.62368612564,5154.39323018125,0.165639194746805,1,"FV1 vs FV2",515.439323018125,-0.220780301730012,0.896700370946815,-11.3738229358583
115,"S55",16,12,0.00819893383259883,0.00279029296116131,2,44.5,1,1,1951.47324355567,4300.62368612564,6252.09692968132,0.312130996288816,1,"FV1 vs FV2",625.209692968132,0.0570227269368907,0.896700370946815,-3.89815358331594
120,"S55",24,19,0.00819893383259883,0.00279029296116131,2,44.5,1,1,2927.20986533351,6809.3208363656,9736.53070169911,0.30064197967585,1,"FV1 vs FV2",973.653070169911,0.334825755603794,0.896700370946815,-4.68490659172652
125,"S55",17,16,0.00819893383259883,0.00279029296116131,2,44.5,1,1,2073.4403212779,5734.16491483419,7807.6052361121,0.26556674659827,1,"FV1 vs FV2",780.76052361121,0.612628784270697,0.896700370946815,-5.08787349101152
130,"S55",12,11,0.00819893383259883,0.00279029296116131,2,44.5,1,1,1463.60493266676,3942.23837894851,5405.84331161526,0.270744978775464,1,"FV1 vs FV2",540.584331161526,0.8904318129376,0.896700370946815,-2.56659125022292
135,"S55",7,2,0.00819893383259883,0.00279029296116131,2,44.5,1,1,853.769544055608,716.770614354274,1570.54015840988,0.543615226572761,1,"FV1 vs FV2",157.054015840988,1.1682348416045,0.896700370946815,6.77488128249736
140,"S55",6,2,0.00819893383259883,0.00279029296116131,2,44.5,1,1,731.802466333378,716.770614354274,1448.57308068765,0.505188503148204,1,"FV1 vs FV2",144.857308068765,1.44603787027141,0.896700370946815,6.82434794534501
90,"24",1,1,0.00585137910923404,0.00486817206534543,2,45.6,1,1,170.899882118714,205.415911060047,376.31579317876,0.454139542417587,1,"FV1 vs FV2",37.631579317876,-1.33199241639762,1.07054237969213,0.599399217633215
